country,continent,population,day,Cases,Recovered,Deaths,Tests
Panama,North-America,4446964,2024-06-30,1059893,1051102,8727,7882622
Papua-New-Guinea,Oceania,9292169,2024-06-30,46864,46168,670,249149
Paraguay,South-America,7305843,2024-06-30,837602,,20155,2657506
Peru,South-America,33684208,2024-06-30,4572667,4350506,222161,39010194
Philippines,Asia,112508994,2024-06-30,4140383,4067381,66864,36102746
Poland,Europe,37739785,2024-06-30,6661991,,120598,39323709
Portugal,Europe,10140570,2024-06-30,5643062,5614809,28126,46139518
Qatar,Asia,2979915,2024-06-30,514524,513687,690,4065369
R&eacute;union,Africa,908061,2024-06-30,494595,,921,1603660
Romania,Europe,19031335,2024-06-30,3529735,3460149,68929,28758667
Russia,Europe,145805947,2024-06-30,24124215,23545818,402756,273400000
Rwanda,Africa,13600464,2024-06-30,133518,132039,1468,6021981
S-Korea,Asia,51329899,2024-06-30,34571873,34535939,35934,15804065
Saint-Helena,Africa,6115,2024-06-30,2166,2,,
Saint-Kitts-and-Nevis,North-America,53871,2024-06-30,6607,6559,48,126958
Saint-Lucia,North-America,185113,2024-06-30,30215,29805,410,210983
Saint-Martin,North-America,39730,2024-06-30,12324,,63,112382
Saint-Pierre-Miquelon,North-America,5759,2024-06-30,3452,2449,2,25400
Samoa,Oceania,202239,2024-06-30,17006,1605,31,187397
San-Marino,Europe,34085,2024-06-30,26185,26011,128,196855
Sao-Tome-and-Principe,Africa,227679,2024-06-30,6778,6685,80,29600
Saudi-Arabia,Asia,35844909,2024-06-30,841469,,9646,45481735
Senegal,Africa,17653671,2024-06-30,89053,87024,1971,1146543
Serbia,Europe,8653016,2024-06-30,2615054,2596608,18057,13463733
Seychelles,Africa,99426,2024-06-30,51220,51048,172,
Sierra-Leone,Africa,8306436,2024-06-30,7779,,126,259958
Singapore,Asia,5943546,2024-06-30,3006155,3004131,2024,24756666
Sint-Maarten,North-America,43966,2024-06-30,11051,10905,92,62056
Slovakia,Europe,5460193,2024-06-30,1877605,1856381,21224,7448789
Slovenia,Europe,2078034,2024-06-30,1356546,1349424,7100,2847701
Solomon-Islands,Oceania,721159,2024-06-30,25954,,199,
Somalia,Africa,16841795,2024-06-30,27334,13182,1361,400466
South-Africa,Africa,60756135,2024-06-30,4076463,3912506,102595,26795090
South-Sudan,Africa,11618511,2024-06-30,18819,18115,147,410280
Spain,Europe,46719142,2024-06-30,13914811,13762417,121760,471036328
Sri-Lanka,Asia,21575842,2024-06-30,672754,655852,16897,6486117
St-Barth,North-America,9945,2024-06-30,5507,,6,78646
St-Vincent-Grenadines,North-America,111551,2024-06-30,9674,9493,124,114197
Sudan,Africa,45992020,2024-06-30,63993,58947,5046,562941
Suriname,South-America,596831,2024-06-30,82588,,1408,242207
Sweden,Europe,10218971,2024-06-30,2754129,2726492,27407,19500873
Switzerland,Europe,8773637,2024-06-30,4453053,4438309,14452,23833472
Syria,Asia,19364809,2024-06-30,57743,54578,3165,146269
Taiwan,Asia,23888595,2024-06-30,10241523,10222518,19005,30742304
Tajikistan,Asia,9957464,2024-06-30,17786,17264,125,
Tanzania,Africa,63298550,2024-06-30,43223,,846,
Thailand,Asia,70078203,2024-06-30,4770149,4692636,34586,17273454
Timor-Leste,Asia,1369429,2024-06-30,23460,23102,138,278529
Togo,Africa,8680837,2024-06-30,39572,39281,290,815204
Tokelau,Oceania,1378,2024-06-30,80,,,
Tonga,Oceania,107749,2024-06-30,16950,15638,13,535009
Trinidad-and-Tobago,North-America,1406585,2024-06-30,191496,187078,4390,913289
Tunisia,Africa,12046656,2024-06-30,1153361,,29423,5013383
Turkey,Asia,85561976,2024-06-30,17232066,,102174,162743369
Turks-and-Caicos,North-America,39741,2024-06-30,6752,6709,40,616788
Tuvalu,Oceania,12066,2024-06-30,2943,,1,
UAE,Asia,10081785,2024-06-30,1067030,,2349,200732262
UK,Europe,68497907,2024-06-30,24910387,24678275,232112,522526476
USA,North-America,334805269,2024-06-30,111820082,109814428,1219487,1186851502
Uganda,Africa,48432863,2024-06-30,172149,100431,3632,3012408
Ukraine,Europe,43192122,2024-06-30,5557995,5445577,112418,32603805
Uruguay,South-America,3496016,2024-06-30,1041111,1030944,7664,6114822
Uzbekistan,Asia,34382084,2024-06-30,253662,241486,1637,1377915
Vanuatu,Oceania,321832,2024-06-30,12019,11976,14,24976
Vatican-City,Europe,799,2024-06-30,29,29,,
Venezuela,South-America,29266991,2024-06-30,552695,546537,5856,3359014
Vietnam,Asia,98953541,2024-06-30,11625195,10640971,43206,85826548
Wallis-and-Futuna,Oceania,10982,2024-06-30,3550,438,8,20508
Western-Sahara,Africa,626161,2024-06-30,10,9,1,
Yemen,Asia,31154867,2024-06-30,11945,9124,2159,329592
Zambia,Africa,19470234,2024-06-30,349304,341316,4069,4112961
Zimbabwe,Africa,15331428,2024-06-30,266359,258888,5740,2525756
